ablaze	alight [0.86] ksander [0.74] afire [0.73] aflame [0.69] gamin [0.69] masimo [0.66] hanieyh [0.64] gulahuseinwala [0.64] stylized [0.64] firecrackers [0.64] 
abnormalities	mutations [0.90] hypertension [0.87] fractures [0.87] epidemics [0.86] lesions [0.86] tumours [0.86] tumors [0.86] implants [0.86] enzymes [0.85] antibodies [0.85] 
abortive	appendectomy [0.91] hourlong [0.90] ophthalmologist [0.90] antipasto [0.90] epidural [0.90] anagram [0.90] asterisk [0.90] unrelenting [0.89] saichuk [0.89] encyclopedic [0.89] 
absurdly	unbelievably [0.91] aladdin [0.90] antihistamine [0.89] astonishingly [0.89] urbane [0.89] anatomist [0.88] anteater [0.88] unassuming [0.88] irresistibly [0.88] exhibitionist [0.88] 
accorded	repugnant [0.80] seconded [0.80] disrespectful [0.80] reassigned [0.79] transfered [0.78] readmitted [0.78] apportioned [0.78] rumoured [0.77] liraglutide [0.77] elevating [0.77] 
accrington	dungannon [0.91] hannover [0.90] lisburn [0.89] crawley [0.89] biarritz [0.89] llanelli [0.89] punta [0.89] blackwood [0.89] walla [0.88] coleraine [0.88] 
aches	hallucinations [0.92] stiffness [0.90] diarrhoea [0.90] redness [0.89] dehydration [0.89] fluids [0.89] insomnia [0.88] alienation [0.88] eczema [0.88] ulcers [0.87] 
achieves	exemplifies [0.86] signifies [0.86] restores [0.85] defies [0.83] posits [0.83] provokes [0.83] minimizes [0.82] outgrew [0.82] satisfies [0.82] embraces [0.82] 
additive	ammonia [0.89] antibody [0.88] colorless [0.87] adsl [0.87] opiate [0.87] accelerant [0.87] etching [0.87] artisan [0.87] heartbeat [0.87] abattoir [0.87] 
adkins	monsignor [0.92] emery [0.92] clemons [0.92] hagan [0.92] rocha [0.92] greenhalgh [0.92] elia [0.92] dieter [0.92] allam [0.92] rosenbaum [0.92] 
affectionately	generically [0.91] daffy [0.91] irina [0.91] gordo [0.91] hedda [0.90] tam [0.90] ajay [0.90] naughton [0.90] prankster [0.90] vittorio [0.90] 
affirming	prolonging [0.80] strank [0.77] transcends [0.76] prolongs [0.76] solves [0.75] tumults [0.75] peripatetic [0.75] endures [0.75] temporal [0.75] huiqin [0.74] 
aggravating	intestinal [0.84] avoidable [0.81] unbearable [0.81] irreversible [0.81] embolism [0.81] abominable [0.81] omnipresent [0.81] intersex [0.80] adrenal [0.80] injurious [0.80] 
agile	adaptable [0.88] economical [0.86] informative [0.85] agreeable [0.85] adaptive [0.84] inventive [0.84] scalable [0.84] nimble [0.83] expressive [0.83] antiquated [0.83] 
agribusiness	foodservice [0.87] netease [0.87] telmex [0.87] scottishpower [0.87] mds [0.86] enel [0.86] swisscom [0.86] anchovy [0.86] euphorbia [0.86] albertsons [0.86] 
ahmadi	gilani [0.90] abhisit [0.90] qureshi [0.90] fukuda [0.89] lavrov [0.89] bakiyev [0.89] cheema [0.89] kadyrov [0.89] salehi [0.89] larijani [0.89] 
