('mildness', 'mean', 'school')
('hunter', 'perfect', 'that')
('candidate', 'win', 'majority')
('team', 'be', 'entitlement')
('PROPN', 'slam', 'PROPN')
('deal', 'will', 'revenue')
('vice', 'assure', 'president')
('PROPN', 'run', 'scheme')
('vacationer', 'visit', 'park')
('PROPN', 'present', 'fossil')
('t', 'hear', 'PROPN')
('investor', 'may', 'replay')
('woman', 'have', 'sex')
('panel', 'have', 'appointment')
('black', 'enjoy', 'education')
('t', 'prompt', 'opposition')
('PROPN', 'deliver', 'some')
('PROPN', 'issue', 'statement')
('t', 'see', 'he')
('pundit', 'can', 'themselves')
('PROPN', 'be', 'generation')
('PROPN', 'be', 'football')
('PROPN', 'exaggerate', 'encounter')
('PROPN', 'make', 'assault')
('people', 'be', 'money')
('notion', 'brook', 'caveat')
('regulator', 'have', 'bank')
('PROPN', 'would', 'team')
('PROPN', 'maul', 'PROPN')
('PROPN', 'lead', 'PROPN')
('village', 'harpoon', 'quarry')
('investor', 'enjoy', 'return')
('sister', 'read', 'statement')
('PROPN', 'lie', 'egg')
('cop', 'exchange', 'gunfire')
('cop', 'kill', 'he')
('PROPN', 'have', 'group')
('president', 'push', 'PROPN')
('number', 'include', 'PROPN')
('figure', 'show', 'trend')
('PROPN', 'join', 'minister')
('PROPN', 'make', 'third')
('PROPN', 'have', 'problem')
('PROPN', 'pay', 'way')
('PROPN', 'lend', 'voice')
('t', 'make', 'sense')
('ladder', 'cost', '2,000')
('observer', 'have', 'election')
('PROPN', 'say', 'election')
('investor', 'ignore', 'warning')
('hour', 'await', 'he')
('citizen', 'marry', 'interest')
('PROPN', 'sponsor', 'event')
('sale', 'gain', '%')
('company', 'build', 'reputation')
('game', 'will', 'chance')
('PROPN', 'should', 'contest')
('mp', 'should', 'privilege')
('authority', 'to', 'priority')
('rain', 'sweep', 'piste')
('rain', 'turn', 'piste')
('man', 'would', 'compensation')
('PROPN', 'know', 'it')
('PROPN', 'ignore', 'it')
('PROPN', 'rape', 'taxpayer')
('PROPN', 'line', 'pocket')
('PROPN', 'pay', 'bonus')
('PROPN', 'choose', 'menu')
('PROPN', 'spend', 'year')
('hide', 'retire', 'monkey')
('PROPN', 'be', 'preparation')
('PROPN', 'have', 'figure')
('PROPN', 'match', 'number')
('worker', 'penetrate', 'thousand')
('PROPN', 'would', 'lawmaker')
('volatility', 'be', 'riskiness')
('wreath', 'mark', 'birthday')
('t', 'feel', 'pressure')
('people', 'need', 'I')
('junkie', 'have', 'book')
('school', 'be', 'risk')
('note', 'score', 'run')
('pupil', 'have', 'PROPN')
('student', 'have', 'advantage')
('attack', 'have', 'family')
('state', 'pocket', 'percent')
('PROPN', 'be', 'responsibility')
('share', 'be', 'responsibility')
('woman', 'pick', 'man')
('woman', 'pick', 'man')
('critic', 'reference', 'pair')
('play', 'seem', 'version')
('PROPN', 'have', 'elimination')
('Police', 'raid', 'home')
