subject_lemma,verb_lemma,object_lemma
mildness,mean,school
hunter,perfect,that
fish,rank,ace
fish,fire,ace
candidate,win,majority
PROPN,maintain,PROPN
team,be,entitlement
PROPN,slam,PROPN
lady,may,husband
deal,will,revenue
PROPN,run,scheme
vacationer,visit,park
PROPN,present,fossil
t,hear,PROPN
investor,may,replay
woman,have,sex
panel,have,appointment
black,enjoy,education
t,prompt,opposition
PROPN,deliver,some
socgen,issue,statement
t,see,he
pundit,can,themselves
PROPN,be,generation
PROPN,exaggerate,encounter
PROPN,make,assault
people,be,money
notion,brook,caveat
regulator,have,bank
PROPN,would,team
PROPN,maul,PROPN
PROPN,lead,PROPN
village,harpoon,quarry
investor,enjoy,return
sister,read,statement
amphibian,lie,egg
cop,exchange,gunfire
cop,kill,he
t,didn,payment
PROPN,have,group
president,push,PROPN
leader,not,limit
number,include,PROPN
figure,show,trend
PROPN,join,minister
PROPN,make,third
PROPN,have,problem
PROPN,pay,way
PROPN,lend,voice
t,make,sense
ladder,cost,"2,000"
observer,have,election
PROPN,say,election
investor,ignore,warning
citizen,marry,interest
PROPN,sponsor,event
sale,gain,%
company,build,reputation
game,will,chance
PROPN,should,contest
PROPN,should,privilege
authority,to,priority
rain,sweep,piste
rain,turn,piste
man,would,compensation
PROPN,know,it
PROPN,ignore,it
PROPN,rape,taxpayer
PROPN,line,pocket
PROPN,pay,bonus
PROPN,choose,menu
PROPN,spend,year
police,could,safety
PROPN,be,preparation
t,have,figure
PROPN,match,number
worker,penetrate,thousand
PROPN,would,lawmaker
volatility,be,riskiness
t,feel,pressure
people,need,I
junkie,have,book
school,be,risk
PROPN,score,run
pupil,have,PROPN
student,have,advantage
attack,have,family
state,pocket,percent
PROPN,be,responsibility
share,be,responsibility
woman,pick,man
woman,pick,man
critic,reference,pair
play,seem,version
PROPN,have,elimination
Police,raid,home
group,construct,facility
restaurant,serve,it
conservative,have,record
PROPN,have,whom
PROPN,should,reason
region,place,burden
figure,show,loss
PROPN,could,that
father,emigrate,PROPN
father,master,PROPN
other,add,sugar
PROPN,be,show
statement,involve,risk
effort,end,tribute
effort,to,tribute
arm,to,PROPN
student,stick,finger
law,require,he
PROPN,contradict,PROPN
ship,will,cargo
stock,gain,2.28
PROPN,have,tarmac
PROPN,report,result
superdelegate,to,decision
development,have,I
PROPN,tell,detective
prince,visit,capital
PROPN,have,reputation
design,have,reputation
firm,raise,suspicion
governor,offer,account
PROPN,have,issue
people,make,he
company,be,regulator
t,give,money
t,spend,it
office,have,comment
wisdom,have,it
PROPN,tell,court
PROPN,change,life
PROPN,begin,negotiation
talk,have,roadblock
PROPN,remain,negotiation
student,call,home
datum,show,ratio
water,to,nose
tap,can,water
measure,be,impact
PROPN,shoot,PROPN
concentration,consider,form
PROPN,plead,person
PROPN,maim,person
PROPN,maim,person
PROPN,have,PROPN
PROPN,will,PROPN
people,lose,life
PROPN,block,shot
word,contain,element
fee,will,sale
PROPN,repeat,unit
PROPN,would,unit
PROPN,would,unit
PROPN,have,factory
terrorist,do,bomb
t,provide,relief
place,'ll,taste
offer,value,percent
manager,tell,inquiry
troll,can,opportunity
majority,paste,opportunity
majority,await,opportunity
erosion,erode,marsh
erosion,leave,PROPN
PROPN,escape,trouble
scale,have,shame
leper,be,treatment
kind,do,work
sculpture,have,thing
PROPN,fire,lawyer
PROPN,match,mood
people,turn,that
PROPN,be,war
creation,do,what
automaker,have,discount
automaker,shut,plant
declaration,raise,issue
people,have,creativity
difficulty,illustrate,awareness
PROPN,have,whom
PROPN,orbit,PROPN
PROPN,blame,PROPN
patient,endure,hospitalization
researcher,add,hospitalization
researcher,report,hospitalization
law,will,reduction
law,cause,reduction
startup,offer,game
organization,facilitate,communication
PROPN,receive,nod
neighbour,repeat,allegation
country,must,role
ranger,take,lead
PROPN,edge,PROPN
search,have,link
mother,do,what
cup,cut,soap
consultant,be,interpreter
consultant,forge,alliance
PROPN,belittle,experience
nominee,have,memoir
head,break,cover
police,aren,t
detective,have,claim
autopsy,find,claim
decision,will,nation
birthplace,be,service
study,point,offender
group,have,gunman
PROPN,make,hand
PROPN,have,bundle
firefighter,reach,scene
people,do,PROPN
researcher,record,instance
milestone,turn,50
milestone,mean,what
PROPN,open,talk
PROPN,want,PROPN
airport,have,gun
blizzard,compound,effect
kid,age,six
PROPN,to,war
military,annul,result
bank,deny,report
family,call,whom
lawmaker,end,boycott
thought,frighten,I
blog,note,propensity
council,be,"400,000"
customer,to,product
woman,report,increase
t,mean,wouldn
t,have,chance
caller,should,0962
documentation,have,investigation
PROPN,get,%
investigator,interview,immigrant
graph,look,lag
graph,show,lag
sentiment,do,those
view,do,view
regulation,drive,hundred
regulation,lower,proportion
PROPN,muscle,rival
program,mirror,other
family,have,tribute
partner,will,punter
patient,have,care
couple,mail,fantasy
profit,plunge,m
airline,schedule,flight
commissioner,do,incentive
teacher,need,kick
PROPN,have,reactor
PROPN,take,place
PROPN,coax,performance
spokesman,say,people
PROPN,have,importance
experience,remind,she
breaking,infuriate,military
PROPN,might,vote
PROPN,commit,itself
t,shut,eye
bird,provide,barometer
way,be,biodiversity
stimulus,will,relief
share,sit,yield
share,offer,yield
opponent,have,trouble
road,take,you
PROPN,want,taxis
recommendation,would,takeover
home,take,week
group,have,point
PROPN,unearth,PROPN
withdrawal,have,shine
throw,beat,runner
PROPN,be,way
PROPN,retain,control
PROPN,have,interest
mother,do,strength
accuser,bring,photo
PROPN,be,stewardship
PROPN,make,start
PROPN,be,light
PROPN,will,amnesia
PROPN,make,decision
PROPN,have,search
PROPN,have,director
research,challenge,perception
people,can,car
PROPN,suffer,injury
PROPN,have,fear
PROPN,have,right
school,receive,cent
jury,convict,he
PROPN,have,intention
feminist,cite,history
segregation,will,stereotype
meeting,must,place
airliner,carry,chief
PROPN,give,advantage
PROPN,miss,shot
PROPN,commit,violation
museum,have,piece
PROPN,have,peace
review,could,examination
review,would,examination
talk,would,relation
people,become,nose
people,develop,nose
index,take,sample
government,could,access
PROPN,do,which
diplomat,say,mission
legislature,reject,bill
legislature,repeal,law
visit,give,taste
visit,flower,tea
PROPN,�,cheer
official,have,link
worker,be,job
PROPN,have,part
meeting,will,range
cost,decline,m.
successor,keep,nation
mother,have,sclerosis
PROPN,sour,start
corruption,have,confidence
PROPN,oppose,which
circus,engulf,appearance
t,have,long
bath,be,PROPN
PROPN,be,pace
mayor,unveil,statue
PROPN,post,increase
PROPN,have,order
PROPN,score,point
factor,can,makeup
president,announce,decision
none,will,mention
PROPN,blame,PROPN
PROPN,have,test
PROPN,never,hesitation
black,should,PROPN
admission,have,torrent
move,will,objectivity
PROPN,put,qualification
t,have,that
PROPN,take,look
people,can,that
industry,employ,worker
PROPN,oppose,it
PROPN,do,flexibility
PROPN,have,memory
inflation,would,magic
PROPN,go,operation
procedure,will,place
