subject_lemma,verb_lemma,object_lemma
mildness,mean,school
hunter,perfect,that
candidate,win,majority
team,be,entitlement
PROPN,slam,PROPN
deal,will,revenue
vice,assure,president
PROPN,run,scheme
vacationer,visit,park
PROPN,present,fossil
t,hear,PROPN
investor,may,replay
woman,have,sex
panel,have,appointment
black,enjoy,education
t,prompt,opposition
PROPN,deliver,some
PROPN,issue,statement
t,see,he
pundit,can,themselves
PROPN,be,generation
PROPN,be,football
PROPN,exaggerate,encounter
PROPN,make,assault
people,be,money
notion,brook,caveat
regulator,have,bank
PROPN,would,team
PROPN,maul,PROPN
PROPN,lead,PROPN
village,harpoon,quarry
investor,enjoy,return
sister,read,statement
PROPN,lie,egg
cop,exchange,gunfire
cop,kill,he
PROPN,have,group
president,push,PROPN
number,include,PROPN
figure,show,trend
PROPN,join,minister
PROPN,make,third
PROPN,have,problem
PROPN,pay,way
PROPN,lend,voice
t,make,sense
ladder,cost,"2,000"
observer,have,election
PROPN,say,election
investor,ignore,warning
hour,await,he
citizen,marry,interest
PROPN,sponsor,event
sale,gain,%
company,build,reputation
game,will,chance
PROPN,should,contest
mp,should,privilege
authority,to,priority
rain,sweep,piste
rain,turn,piste
man,would,compensation
PROPN,know,it
PROPN,ignore,it
PROPN,rape,taxpayer
PROPN,line,pocket
PROPN,pay,bonus
PROPN,choose,menu
PROPN,spend,year
hide,retire,monkey
PROPN,be,preparation
PROPN,have,figure
PROPN,match,number
worker,penetrate,thousand
PROPN,would,lawmaker
volatility,be,riskiness
wreath,mark,birthday
t,feel,pressure
people,need,I
junkie,have,book
school,be,risk
note,score,run
pupil,have,PROPN
student,have,advantage
attack,have,family
state,pocket,percent
PROPN,be,responsibility
share,be,responsibility
woman,pick,man
woman,pick,man
critic,reference,pair
play,seem,version
PROPN,have,elimination
Police,raid,home
group,construct,facility
restaurant,serve,it
conservative,have,record
PROPN,should,reason
region,place,burden
figure,show,loss
PROPN,could,that
father,emigrate,PROPN
father,master,PROPN
other,add,sugar
PROPN,be,show
statement,involve,risk
car,find,out
arm,to,PROPN
student,stick,finger
law,require,he
PROPN,contradict,PROPN
ship,will,cargo
stock,gain,2.28
PROPN,have,tarmac
PROPN,report,result
superdelegate,to,decision
development,have,I
PROPN,tell,detective
prince,visit,capital
PROPN,have,reputation
design,have,reputation
firm,raise,suspicion
t,get,salary
trip,be,booster
PROPN,may,future
governor,offer,account
PROPN,have,issue
people,make,he
company,be,regulator
t,give,money
t,spend,it
office,have,comment
PROPN,enact,visit
PROPN,change,life
PROPN,begin,negotiation
talk,have,roadblock
PROPN,remain,negotiation
student,call,home
decision,do,what
datum,show,ratio
water,to,nose
tap,can,water
PROPN,shoot,PROPN
people,lose,life
PROPN,block,shot
word,contain,element
fee,will,sale
PROPN,repeat,unit
PROPN,would,unit
PROPN,would,unit
PROPN,have,factory
terrorist,do,bomb
t,provide,relief
offer,value,percent
manager,tell,inquiry
troll,can,opportunity
majority,paste,opportunity
majority,await,opportunity
PROPN,escape,trouble
scale,have,shame
leper,be,treatment
sculpture,have,thing
PROPN,fire,lawyer
PROPN,match,mood
people,turn,that
PROPN,be,war
creation,do,what
automaker,have,discount
automaker,shut,plant
declaration,raise,issue
declaration,run,it
group,will,decision
PROPN,say,people
people,have,creativity
difficulty,illustrate,awareness
PROPN,have,whom
PROPN,orbit,PROPN
PROPN,blame,PROPN
patient,endure,hospitalization
law,will,reduction
law,cause,reduction
startup,offer,game
organization,provide,encouragement
organization,facilitate,communication
PROPN,receive,nod
neighbour,repeat,allegation
country,must,role
PROPN,take,lead
PROPN,edge,PROPN
PROPN,value,it
search,have,link
mother,do,what
cup,cut,soap
consultant,be,interpreter
consultant,forge,alliance
PROPN,belittle,experience
nominee,have,memoir
signal,malfunction,shop
signal,force,shop
PROPN,release,handful
head,break,cover
police,aren,t
detective,have,claim
decision,will,nation
birthplace,be,service
study,point,offender
PROPN,make,hand
PROPN,have,PROPN
firefighter,reach,scene
people,do,PROPN
researcher,record,instance
milestone,turn,50
milestone,mean,what
t,have,gulf
PROPN,open,talk
PROPN,want,PROPN
airport,have,gun
blizzard,compound,effect
kid,age,six
PROPN,to,war
PROPN,can,PROPN
military,annul,result
bank,deny,report
family,call,whom
lawmaker,end,boycott
thought,frighten,I
%,approve,disapprove
blog,note,propensity
PROPN,force,country
council,be,"400,000"
customer,to,product
woman,report,increase
t,have,chance
documentation,have,investigation
PROPN,get,%
cousin,wear,mask
investigator,interview,immigrant
graph,look,lag
graph,show,lag
phone,be,hook
view,do,view
rebel,have,government
regulation,call,hundred
regulation,drive,hundred
regulation,lower,proportion
PROPN,muscle,rival
program,mirror,other
family,have,tribute
partner,will,punter
couple,to,fantasy
airline,schedule,flight
commissioner,do,incentive
teacher,need,kick
PROPN,have,reactor
PROPN,take,place
PROPN,coax,performance
PROPN,have,importance
experience,remind,she
breaking,infuriate,military
PROPN,might,vote
PROPN,commit,itself
t,shut,eye
bird,provide,barometer
stimulus,will,relief
copper,climb,3.7
opponent,have,trouble
road,take,you
PROPN,want,taxis
recommendation,would,takeover
home,take,week
group,have,point
PROPN,unearth,PROPN
withdrawal,have,shine
t,make,noise
throw,beat,runner
PROPN,be,way
PROPN,retain,control
PROPN,have,interest
mother,do,strength
accuser,bring,photo
PROPN,be,stewardship
PROPN,make,start
PROPN,be,light
PROPN,trust,I
PROPN,will,PROPN
PROPN,make,decision
PROPN,have,search
PROPN,have,director
organization,improve,health
research,challenge,perception
people,can,car
PROPN,suffer,injury
PROPN,have,fear
PROPN,have,right
PROPN,bet,pound
taxpayer,be,price
school,receive,cent
jury,convict,he
PROPN,have,intention
feminist,cite,history
segregation,will,stereotype
meeting,must,place
PROPN,give,advantage
PROPN,miss,shot
PROPN,commit,violation
museum,have,piece
PROPN,have,peace
review,could,examination
review,would,examination
talk,would,relation
people,become,nose
people,develop,nose
index,take,sample
government,could,access
PROPN,do,which
legislature,reject,bill
legislature,repeal,law
visit,give,taste
official,have,link
worker,be,job
PROPN,have,part
meeting,will,range
cost,decline,m.
successor,keep,nation
mother,have,sclerosis
PROPN,sour,start
corruption,have,confidence
PROPN,oppose,which
circus,engulf,appearance
t,have,long
bath,be,PROPN
PROPN,be,pace
mayor,unveil,statue
PROPN,have,order
marion,score,point
factor,can,makeup
president,announce,decision
PROPN,blame,PROPN
PROPN,have,test
PROPN,never,hesitation
black,should,PROPN
admission,have,torrent
admission,will,objectivity
PROPN,put,qualification
t,have,that
PROPN,take,look
people,can,that
PROPN,oppose,it
PROPN,do,flexibility
PROPN,have,memory
inflation,would,magic
PROPN,under,operation
procedure,will,place
coral,face,threat
fan,can,fun
event,call,attention
ad,cite,criticism
PROPN,squeeze,meeting
PROPN,make,plea
student,should,lot
student,hear,lot
student,think,lot
PROPN,do,honor
reviewer,must,profile
set,lodge,bleeding
