('mildness', 'mean', 'school')
('hunter', 'perfect', 'that')
('candidate', 'win', 'majority')
('team', 'be', 'entitlement')
('PROPN', 'slam', 'PROPN')
('lady', 'may', 'husband')
('deal', 'will', 'revenue')
('cent', 'own', 'cent')
('PROPN', 'run', 'scheme')
('vacationer', 'visit', 'park')
('PROPN', 'present', 'fossil')
('investor', 'may', 'replay')
('woman', 'have', 'sex')
('panel', 'have', 'appointment')
('black', 'enjoy', 'education')
('card', 'prompt', 'opposition')
('PROPN', 'deliver', 'some')
('PROPN', 'issue', 'statement')
('t', 'see', 'he')
('pundit', 'can', 'themselves')
('PROPN', 'be', 'generation')
('PROPN', 'exaggerate', 'encounter')
('PROPN', 'make', 'assault')
('people', 'be', 'money')
('notion', 'brook', 'caveat')
('regulator', 'have', 'bank')
('PROPN', 'would', 'team')
('PROPN', 'maul', 'PROPN')
('PROPN', 'lead', 'PROPN')
('village', 'harpoon', 'quarry')
('investor', 'enjoy', 'return')
('sister', 'read', 'statement')
('amphibian', 'lay', 'egg')
('justice', 'demand', 'less')
('problem', 'could', 'cent')
('president', 'push', 'PROPN')
('number', 'include', 'PROPN')
('figure', 'show', 'trend')
('PROPN', 'join', 'minister')
('PROPN', 'make', 'third')
('PROPN', 'have', 'problem')
('PROPN', 'pay', 'way')
('PROPN', 'lend', 'voice')
('ladder', 'cost', '2,000')
('flight', 'cost', 'cent')
('observer', 'have', 'election')
('PROPN', 'say', 'election')
('investor', 'ignore', 'warning')
('citizen', 'marry', 'interest')
('PROPN', 'sponsor', 'event')
('sale', 'gain', '%')
('company', 'build', 'reputation')
('game', 'will', 'chance')
('PROPN', 'should', 'contest')
('authority', 'to', 'priority')
('rain', 'sweep', 'piste')
('rain', 'turn', 'piste')
('man', 'would', 'compensation')
('PROPN', 'know', 'it')
('PROPN', 'ignore', 'it')
('PROPN', 'rape', 'taxpayer')
('PROPN', 'line', 'pocket')
('PROPN', 'pay', 'bonus')
('PROPN', 'choose', 'menu')
('PROPN', 'spend', 'year')
('rainforest', 'hide', 'monkey')
('PROPN', 'be', 'preparation')
('t', 'have', 'figure')
('worker', 'penetrate', 'thousand')
('PROPN', 'would', 'lawmaker')
('comparison', 'don', 't')
('volatility', 'be', 'riskiness')
('wreath', 'mark', 'birthday')
('people', 'need', 'I')
('junkie', 'have', 'book')
('school', 'be', 'risk')
('PROPN', 'score', 'run')
('pupil', 'have', 'PROPN')
('test', 'have', 'PROPN')
('student', 'have', 'advantage')
('state', 'pocket', 'percent')
('PROPN', 'be', 'responsibility')
('share', 'be', 'responsibility')
('woman', 'pick', 'man')
('woman', 'pick', 'man')
('critic', 'reference', 'pair')
('play', 'seem', 'version')
('PROPN', 'have', 'elimination')
('Police', 'raid', 'home')
('group', 'construct', 'facility')
('restaurant', 'serve', 'it')
('conservative', 'have', 'record')
('PROPN', 'have', 'whom')
('PROPN', 'should', 'reason')
