ablaze	alight [0.92] afire [0.79] up [0.56] aside [0.54] vandalized [0.50] bonfires [0.49] demolished [0.48] Dempkey [0.48] boxed [0.48] Bail [0.48] 
abnormalities	tumours [0.91] lesions [0.88] tumors [0.87] mutations [0.83] cancers [0.83] defects [0.82] receptors [0.82] disorders [0.81] transplantation [0.81] inflammation [0.80] 
abortive	eleventh-hour [0.86] 11th-hour [0.84] ill-tempered [0.84] ignominious [0.84] expletive-laden [0.82] all-Russian [0.82] Iraq-style [0.82] 18-day [0.81] error-strewn [0.81] ex-convict [0.81] 
absurdly	astonishingly [0.89] amazingly [0.86] astoundingly [0.84] awfully [0.83] unbelievably [0.83] embarrassingly [0.83] uncommonly [0.82] impossibly [0.82] improbably [0.81] exceedingly [0.81] 
accorded	afforded [0.72] privy [0.71] aspires [0.68] aspired [0.68] forwarded [0.67] relayed [0.67] anathema [0.66] subscribed [0.66] profess [0.66] answerable [0.65] 
accrington	Merzouga [0.85] 18.24 [0.84] 1950s-inspired [0.84] 6.134 [0.84] riesgo [0.84] TENDER [0.83] CITE [0.83] BIRTHERS [0.83] www.pensionmartini.com [0.83] WINCHESTER [0.83] 
aches	dizziness [0.85] nausea [0.83] cramps [0.83] fatigue [0.81] vomiting [0.81] ulcers [0.81] rashes [0.80] diarrhea [0.80] insomnia [0.78] dehydration [0.78] 
achieves	proves [0.80] assumes [0.78] implies [0.76] demonstrates [0.75] emphasizes [0.73] possesses [0.73] accomplishes [0.73] defies [0.73] recognises [0.73] renders [0.72] 
additive	antioxidant [0.78] adjuvant [0.78] electrode [0.78] enzyme [0.78] appetizer [0.77] edible [0.76] anaerobic [0.76] all-natural [0.75] x-ray [0.75] antihistamine [0.75] 
affectionately	popularly [0.77] Eav [0.76] villainous [0.75] variously [0.75] derisively [0.73] Guek [0.73] generically [0.73] colloquially [0.73] Po [0.73] Shaolin [0.72] 
affirming	reaffirming [0.80] reaffirms [0.76] vindicates [0.74] upholding [0.73] reiterating [0.72] affirms [0.72] misrepresenting [0.71] affirmed [0.71] validates [0.70] recognising [0.70] 
aggravating	mitigating [0.77] unforeseen [0.75] irreversible [0.73] unintentional [0.71] intolerable [0.70] intractable [0.69] atypical [0.68] achilles [0.68] upper-body [0.67] avoidable [0.67] 
agile	economical [0.87] adaptable [0.84] adventurous [0.83] approachable [0.82] nimble [0.82] inventive [0.80] imaginative [0.79] empathetic [0.78] assertive [0.78] expressive [0.77] 
agribusiness	UK-listed [0.77] petrochemicals [0.76] car-making [0.75] automaking [0.75] foodservice [0.74] carmaking [0.74] aquaculture [0.74] pharma [0.73] ENI [0.73] Codelco [0.73] 
airtime	subscriptions [0.62] e-books [0.61] add-ons [0.61] DVR [0.61] airplay [0.61] over-the-air [0.60] commercial-free [0.59] coupons [0.59] playback [0.58] programing [0.58] 
allay	assuage [0.93] dispel [0.83] soothe [0.82] defuse [0.81] quell [0.78] downplay [0.78] quash [0.77] heighten [0.75] banish [0.73] dampen [0.73] 
alluded	clings [0.92] adhered [0.91] consigned [0.90] likened [0.89] listens [0.89] subscribes [0.89] reverted [0.89] accede [0.89] pander [0.88] Referring [0.88] 
alluring	endearing [0.93] unnerving [0.89] uplifting [0.89] exhilarating [0.88] irresistible [0.87] agreeable [0.86] edgy [0.86] artful [0.85] amusing [0.85] affectionate [0.85] 
almighty	offensive-zone [0.88] eyesore [0.88] abomination [0.87] hour-and-a-half [0.87] AL-record [0.87] unmitigated [0.87] earful [0.86] asterisk [0.86] undetermined [0.86] albatross [0.86] 
alternating	interspersed [0.76] bristling [0.75] brims [0.74] aplomb [0.74] embellished [0.74] replete [0.73] interplay [0.73] suffused [0.73] flecked [0.72] infused [0.72] 
amphibious	anti-submarine [0.82] Apache [0.80] unmanned [0.80] aerial [0.80] F-16 [0.79] armored [0.77] anti-aircraft [0.76] AK-47 [0.75] oceangoing [0.75] armoured [0.75] 
amputated	healed [0.80] repaired [0.76] severed [0.72] penetrated [0.70] grazed [0.70] broken [0.68] bandaged [0.67] pierced [0.67] punctured [0.67] scratched [0.66] 
